Question Number,Module number,Module name,Section,2024 Question,Integrated,Environmental issues covered,Sector,Public authorities,Supply chain only,Climate change,2023 Climate change question number,Forests change,2023 Forests question number,Water change,2023 Water Security question number,Integration,Alignment with IFRS S2,Alignment with other standard or framework,General improvement,Notes for changes,IFRS-S2,TNFD,ESRS,AFi
4.5.1,4,Governance,Incentives,Provide further details on the monetary incentives provided for the management of environmental issues (do not include the names of individuals).,Yes,"Climate Change, Forests, Water, Biodiversity",All sectors,No,No,Modified question,C1.3a,Modified question,"F4.3a, F-MM12.3a/F-CO12.3a",Modified question,W6.4a,Yes,Yes,Yes,Yes,"Only details on monetary incentives for senior management and above are requested to align with standards and reduce reporting burden. The column on incentive plan (or equiv.) that the incentive is part of, taken from climate change, is now asked for all environmental issues with updated dropdown options and guidance.",Yes,Yes,Yes,Yes
4.6,4,Governance,Environmental Policies,Does your organization have an environmental policy that addresses environmental issues?,Yes,"Climate Change, Forests, Water, Biodiversity",All sectors,No,No,New question ,C15.2,Modified question,"F4.5, F4.6, F-MM12.4/F-CO12.4",Modified question,W6.1,Yes,No,Yes,Yes,The question has been integrated and aligns with ESRS and AFi. ,No,No,Yes,Yes
4.6.1,4,Governance,Environmental Policies,Provide details of your environmental policies.,Yes,"Climate Change, Forests, Water, Biodiversity",All sectors,No,No,New question,C15.2,Modified question,"F4.5a, F4.6b, F-MM12.4a/F-CO12.4a",Modified question,W6.1a,Yes,No,Yes,Yes,Allows organisations to respond holistically on their environmental policies in an integrated question. New column to understand whether the policies are in line with global environmental treaties or policy goals. Alignment with ESRS and AFi. ,No,No,Yes,Yes
4.7,4,Governance,Environmental Policies,"Does the policy framework for the portfolio activities of your organization include environmental requirements that clients/investees need to meet, and/or exclusion policies?",Yes,"Climate Change, Forests, Water, Biodiversity",FS,No,No,Modified question,"C-FS3.6, FW-FS3.5, C-FS3.6c",Modified question,n/a,Modified question,n/a,Yes,No,No,No,Rephrased question text to apply to all environmental issues.,No,No,No,No
4.7.1,4,Governance,Environmental Policies,Provide details of the policies which include environmental requirements that clients/investees need to meet.,Yes,"Climate Change, Forests, Water, Biodiversity",FS,No,No,Modified question,"C-FS3.6a, FW-FS3.5a",Modified question,n/a,Modified question,n/a,Yes,No,No,No,Rephrased question text to apply to all environmental issues and introduced an environmental issue column facilitating integration.,No,No,No,No
4.7.2,4,Governance,Environmental Policies,"Provide details of your exclusion policies related to industries, activities and/or locations exposed or contributing to environmental risks.",Yes,"Climate Change, Forests, Water, Biodiversity",FS,No,No,Modified question,C-FS3.6b,New question,n/a,New question,n/a,Yes,No,No,No,Rephrased question text to apply to all environmental issues.,No,No,No,No
4.8,4,Governance,Environmental Policies,Does your organization include covenants in financing agreements to reflect and enforce your environmental policies?,Yes,"Climate Change, Forests, Water, Biodiversity",FS,No,No,Modified question,"C-FS3.8, FW-FS3.6",Modified question,n/a,Modified question,n/a,Yes,No,No,No,Rephrased question text to apply to all environmental issues.,No,No,No,No
4.8.1,4,Governance,Environmental Policies,Provide details of the covenants included in your organization’s financing agreements to reflect and enforce your environmental policies.,Yes,"Climate Change, Forests, Water, Biodiversity",FS,No,No,Modified question,C-FS3.8a,New question,n/a,New question,n/a,Yes,No,No,Yes,Introduced an environmental issue column facilitating integration. Additional columns added for analysis.,No,No,No,No
4.9,4,Governance,Pension Schemes (FS),Does your organization offer its employees a pension scheme that incorporates environmental criteria in its holdings?,Yes,"Climate Change, Forests, Water",FS,No,No,Modified guidance,C-FS1.4,New question,n/a,New question,n/a,Yes,No,No,No,Introduced an environmental issue column facilitating integration.,No,No,No,No
4.10,4,Governance,External collaborative frameworks and initiatives,Are you a signatory or member of any environmental collaborative frameworks or initiatives?,Yes,All,All sectors,Yes,No,Modified question,"C12.5, C15.2",Modified question,"F4.6a, F-MM15.1/F-CO15.1, F-MM15.2/F-CO15.2, F-MM15.2a/F-CO15.2a",New question,N/A,Yes,No,No,No,"Integrated, adopting the format of 2023's 12.5.",No,No,No,Yes
4.11,4,Governance,Public Policy Engagement,"In the reporting year, did your organization engage in activities that could directly or indirectly influence policy, law, or regulation that may (positively or negatively) impact the environment?",Yes,"Climate Change, Forests, Water",All sectors,Yes,No,Modified question,"C12.3, FW-FS4.4",New question,n/a,Modified question,"W6.5, W6.5a",Yes,No,Yes,Yes,"New datapoint on transparency registers driven by ESRS alignment.

Asks whether engagement is aligned with global environmental treaties or goals beyond the Paris Agreement to facilitate the inclusion of new environmental issues.",No,Yes,No,Yes
4.11.1,4,Governance,Public Policy Engagement,"On what policies, laws, or regulations that may (positively or negatively) impact the environment has your organization been engaging directly with policy makers in the reporting year?",Yes,"Climate Change, Forests, Water",All sectors,Yes,No,Modified question,"C12.3a, C12.3c, FW-FS4.4a",New question,n/a,New question,n/a,Yes,No,Yes,Yes,"New request for funding of policy makers in line with ESRS.

Types of direct engagement column which was previously a text field is now drop-down options.

Asks whether engagement is aligned with global environmental treaties or goals beyond the Paris Agreement to facilitate the inclusion of new environmental issues.",No,Yes,No,Yes
4.11.2,4,Governance,Public Policy Engagement,"Provide details of your indirect engagement on policy, law, or regulation that may (positively or negatively) impact the environment through trade associations or other intermediary organizations or individuals in the reporting year.",Yes,"Climate Change, Forests, Water",All sectors,Yes,No,Modified question,"C12.3b, C12.3c",New question,n/a,New question,n/a,Yes,No,No,Yes,"Combination of 2023's C12.3b and C12.3c under one question on ""Indirect engagement"". This is to streamline the questions.

Asks whether engagement is aligned with global environmental treaties or goals beyond the Paris Agreement to facilitate the inclusion of new environmental issues.",No,Yes,No,Yes
4.12,4,Governance,Communications/Reporting,Have you published information about your organization’s response to environmental issues for this reporting year in places other than your CDP response?,Yes,"Climate Change, Forests, Water, Biodiversity",All sectors,Yes,No,Modified question,"C12.4, C15.7, FW-FS6.1",No change,F4.4,No change,W6.6,Yes,No,No,No,Yes/no datapoint split into separate question to improve data quality.,No,No,No,Yes
4.12.1,4,Governance,Communications/Reporting,Provide details on the information published about your organization’s response to environmental issues for this reporting year in places other than your CDP response. Please attach the publication.,Yes,"Climate Change, Forests, Water, Biodiversity",All sectors,Yes,No,Modified question,"C12.4, C15.7",New question,n/a,New question,n/a,Yes,Yes,Yes,No,"Datapoints added to facilitate integration.

New datapoint capture the standard or framework the reporting being disclosed on is aligned with (e.g., IFRS, TNFD).",No,No,No,Yes
5.1,5,Business Strategy,Scenario Analysis,Does your organization use scenario analysis to identify environmental outcomes?,Yes,"Climate Change, Forests, Water",All sectors,Yes,No,Modified question,"C3.2, FW-FS3.2",New question,n/a,Modified question,W7.3,Yes,No,No,Yes,"This question has been integrated to allow reporting on multiple environmental issues, and now asks for the frequency assessment. ",Yes,Yes,Yes,No
5.1.1,5,Business Strategy,Scenario Analysis,Provide details of the scenarios used in your organization’s scenario analysis.,Yes,"Climate Change, Forests, Water",All sectors,Yes,No,Modified question,C3.2a,New question,n/a,Modified question,W7.3a,Yes,No,No,Yes,"This question now allows the reporting of quantitative and/or qualitative approaches per environmental issue. Disclosers can now report their assumptions, constraints, and uncertainties, as well as the reference year, timeframes used, and risk types considered in line with TNFD risk types.",Yes,Yes,Yes,No
5.1.2,5,Business Strategy,Scenario Analysis,Provide details of the outcomes of your organization’s scenario analysis.,Yes,"Climate Change, Forests, Water",All sectors,Yes,No,Modified question,C3.2b,New question,n/a,New question,n/a,No,No,No,Yes,Additional columns added for the business processes influenced by the analysis and the coverage of the analysis. Open text field remains that allows organizations to summarize the outcomes.,Yes,Yes,Yes,No
5.2,5,Business Strategy,Transition Plans,Does your organization’s strategy include a climate transition plan?,No,Climate Change,All sectors,Yes,No,Modified question,C3.1,n/a,n/a,n/a,n/a,No,Yes,No,Yes,"In alignment with IFRS S2, this question now requests progress against the transition plan and key assumptions of the plan. The question also now includes details on policies for the exclusion of fossil fuel expansion, and increased clarity on the temperature alignment of the plan. ",Yes,Yes,Yes,No
5.3,5,Business Strategy,Effect of Risks and Opportunities on Strategy and Financial Planning,Have environmental risks and opportunities affected your strategy and/or financial planning?,Yes,"Climate Change, Forests, Water",All sectors,Yes,No,New question,n/a,New question,n/a,New question,n/a,Yes,No,No,No,Question has been added to understand if 5.3.1 and 5.3.2 should appear for an organization.,No,Yes,No,No
5.3.1,5,Business Strategy,Effect of Risks and Opportunities on Strategy and Financial Planning,Describe where and how environmental risks and opportunities have affected your strategy.,Yes,"Climate Change, Forests, Water",All sectors,Yes,No,Modified question,"C3.3, FW-FS3.1",Modified question,F5.1,Modified question,W7.1,Yes,Yes,No,No,"Strategy and financial planning are now split into two questions and this question focuses on strategy. Introduced an environmental issue column facilitating integration. An organization reports separately per business area, based on the selection in 5.3.",Yes,Yes,Yes,No
5.3.2,5,Business Strategy,Effect of Risks and Opportunities on Strategy and Financial Planning,Describe where and how environmental risks and opportunities have affected your financial planning.,Yes,"Climate Change, Forests, Water",All sectors,Yes,No,Modified question,C3.4,Modified question,F5.1,Modified question,W7.1,Yes,Yes,No,No,Strategy and financial planning are now split into two questions and this question focuses on financial planning. Introduced an environmental issue column facilitating integration. An organization can report multiple financial planning elements in one row.,Yes,Yes,Yes,No
5.4,5,Business Strategy,CAPEX/OPEX Alignment,"In your organization’s financial accounting, do you identify spending/revenue that is aligned with your organization’s climate transition?",No,Climate Change,All (except FS),No,No,Modified question,C3.5,n/a,n/a,n/a,n/a,No,No,No,Yes,"Column on ""Methodology or framework used to assess alignment with your organization's transition plan"" added to drive a better nexus between transition planning and sustainable finance taxonomy reporting. ",No,No,Yes,No
5.4.1,5,Business Strategy,CAPEX/OPEX Alignment,Quantify the amount and percentage share of your spending/revenue that is aligned with your organization’s climate transition.,No,Climate Change,All (except FS),No,No,Modified question,C3.5a,n/a,n/a,n/a,n/a,No,No,No,Yes,"New column on ""Methodology or framework used to assess alignment"" added. New columns on % share of financial metrics that are taxonomy eligible and non-eligible per climate change objective added. ",No,No,Yes,No
5.4.2,5,Business Strategy,CAPEX/OPEX Alignment,Quantify the percentage share of your spending/revenue that was associated with eligible and aligned activities under the sustainable finance taxonomy in the reporting year.,No,Climate Change,All (except FS),No,No,Modified question,C3.5b,n/a,n/a,n/a,n/a,No,No,No,Yes,"12 new activities added to the ""Economic activities"" column. New columns on % share of financial metrics that are taxonomy-eligible but whose alignment is not assessed added. Columns restructured for better flow.",No,No,Yes,No
5.4.3,5,Business Strategy,CAPEX/OPEX Alignment,Provide any additional contextual and/or verification/assurance information relevant to your organization’s taxonomy alignment.,No,Climate Change,All (except FS),No,No,Modified question,C3.5c,n/a,n/a,n/a,n/a,No,No,No,Yes,"New columns added on details of minimum safeguards analysis, additional contextual information of taxonomy alignment and assurance/ verification of taxonomy data to improve the quality and specificity of data reported.",No,No,Yes,No
5.5,5,Business Strategy,Low-carbon R&D [Climate only],Does your organization invest in research and development (R&D) of low-carbon products or services related to your sector activities?,No,Climate Change,"CE, CG, CH, CN, CO, EU, MM, OG, RE, ST, TO, TO-EPM, TS",No,No,No change,C-CE9.6/C-CG9.6/C-CH9.6/C-CN9.6/C-CO9.6/C-EU9.6/C-MM9.6/C-OG9.6/C-RE9.6/C-ST9.6/C-TO9.6/C-TS9.6,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
5.5.1,5,Business Strategy,Low-carbon R&D [Climate only],Provide details of your organization’s investments in low-carbon R&D for cement production activities over the last three years.,No,Climate Change,CE,No,No,No change,C-CE9.6a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
5.5.2,5,Business Strategy,Low-carbon R&D [Climate only],Provide details of your organization’s investments in low-carbon R&D for capital goods products and services over the last three years.,No,Climate Change,CG,No,No,No change,C-CG9.6a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
5.5.3,5,Business Strategy,Low-carbon R&D [Climate only],Provide details of your organization’s investments in low-carbon R&D for chemical production activities over the last three years.,No,Climate Change,CH,No,No,No change,C-CH9.6a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
5.5.4,5,Business Strategy,Low-carbon R&D [Climate only],Provide details of your organization’s investments in low-carbon R&D for metals and mining production activities over the last three years.,No,Climate Change,MM,No,No,No change,C-MM9.6a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
5.5.5,5,Business Strategy,Low-carbon R&D [Climate only],Provide details of your organization’s investments in low-carbon R&D for steel production activities over the last three years.,No,Climate Change,ST,No,No,No change,C-ST9.6a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
5.5.6,5,Business Strategy,Low-carbon R&D [Climate only],Provide details of your organization’s investments in low-carbon R&D for real estate and construction activities over the last three years.,No,Climate Change,"CN, RE",No,No,No change,C-CN9.6a/C-RE9.6a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
5.5.7,5,Business Strategy,Low-carbon R&D [Climate only],Provide details of your organization's investments in low-carbon R&D for your sector activities over the last three years.,No,Climate Change,"CO, EU, OG",No,No,No change,C-CO9.6a/C-EU9.6a/C-OG9.6a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
5.5.8,5,Business Strategy,Low-carbon R&D [Climate only],Provide details of your organization’s investments in low-carbon R&D for transport-related activities over the last three years.,No,Climate Change,"TO, TO-EPM, TS",No,No,No change,C-TO9.6a/C-TS9.6a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
5.6,5,Business Strategy,CAPEX breakdown [Climate only],"Break down, by fossil fuel expansion activity, your organization’s CAPEX in the reporting year and CAPEX planned over the next 5 years.",No,Climate Change,"CO, OG",No,No,No change,"C-OG9.5a, C-CO9.5a, C-OG9.5a/C-CO9.5a",n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
5.7,5,Business Strategy,CAPEX breakdown [Climate only],"Break down, by source, your organization’s CAPEX in the reporting year and CAPEX planned over the next 5 years.",No,Climate Change,EU,No,No,No change,C-EU9.5a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
5.7.1,5,Business Strategy,CAPEX breakdown [Climate only],"Break down your total planned CAPEX in your current CAPEX plan for products and services (e.g. smart grids, digitalization, etc.).",No,Climate Change,EU,No,No,No change,C-EU9.5b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
5.8,5,Business Strategy,CAPEX breakdown [Climate only],"Disclose the breakeven price (US$/BOE) required for cash neutrality during the reporting year, i.e. where cash flow from operations covers CAPEX and dividends paid/share buybacks.",No,Climate Change,OG,No,No,No change,C-OG9.7,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
5.9,5,Business Strategy,CAPEX and OPEX trends (Water only),"What is the trend in your organization’s water-related capital expenditure (CAPEX) and operating expenditure (OPEX) for the reporting year, and the anticipated trend for the next reporting year?",No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W7.2,No,No,No,No,No change question,No,No,No,No
5.10,5,Business Strategy,Pricing Environmental Externalities,Does your organization use an internal price on environmental externalities?,Yes,"Climate Change, Water",All sectors,No,No,Modified question,C11.3,n/a,n/a,Modified question,W7.4,Yes,No,No,Yes,"The question for internal carbon pricing and internal water pricing have been integrated under ‘Pricing environmental externalities’. While the focus remains on internal carbon and water pricing, organizations can now disclose on any other internal price on environmental externalities. For example, internal plastic pricing.",No,No,Yes,No
5.10.1,5,Business Strategy,Pricing Environmental Externalities,Provide details of your organization’s internal price on carbon.,No,Climate Change,All sectors,No,No,Modified question,C11.3a,n/a,n/a,n/a,n/a,No,No,No,Yes,"This question now also requests; the price-setting methodology, details on price differentiation, % of emissions in the reporting year covered by the price, and monitoring and evaluation of pricing. ",Yes,No,Yes,No
5.10.2,5,Business Strategy,Pricing Environmental Externalities,Provide details of your organization’s internal price on water.,No,Water,All sectors,No,No,n/a,n/a,n/a,n/a,Modified question,W7.4,No,No,No,Yes,"Updated to align with the internal carbon pricing question. Column ‘Factors beyond current market price are considered in the price’ added. If an organization does not consider any other factors, they will not be presented with any further columns as this is not considered an internal water price or management tool as it is set by a third party.",No,No,No,No
5.11,5,Business Strategy,Value chain engagement,Do you engage with your value chain on environmental issues?,Yes,"Climate Change, Forests, Water, Plastics",All sectors,Yes,No,Modified question,"C12.1, C12.1e",Modified question,"F6.7, F6.8, F6.9",Modified question,W1.5,Yes,No,Yes,Yes,"This question now includes the ""no route"" aspect that was previously addressed as a separate question. The list of value chain stakeholders has been expanded.",No,No,Yes,Yes
5.11.1,5,Business Strategy,Value chain engagement,Does your organization assess and classify suppliers according to their dependencies and/or impacts on the environment?,Yes,"Climate Change, Forests, Water, Plastics",All (except FS),No,No,New question,n/a,New question,n/a,Modified question,W1.5a,Yes,No,Yes,Yes,"Organizations report the criteria for assessing supplier dependencies and/or impacts on the environment, the number of tier 1 suppliers assessed, how they classify suppliers as having substantive dependencies and/or impacts on the environment and the % of suppliers meeting the threshold.",No,Yes,No,Yes
5.11.2,5,Business Strategy,Value chain engagement,Does your organization prioritize which suppliers to engage with on environmental issues?,Yes,"Climate Change, Forests, Water, Plastics",All (except FS),No,No,New question,n/a,New question,n/a,New question,n/a,Yes,No,Yes,No,New question introduced to drive prioritization of supplier engagement on environmental issues and ensure that engagement achieves the greatest benefits.,No,Yes,No,Yes
5.11.3,5,Business Strategy,Value chain engagement,Provide details of your environmental engagement strategy with your clients.,Yes,"Climate Change, Forests, Water",FS,No,No,Modified question,"C-FS12.1b, FW-FS4.1, FW-FS4.1a ",Modified question,n/a,Modified question,n/a,Yes,Yes,No,No,Several new columns to facilitate integration and alignment with IFRS S2.,No,No,No,No
5.11.4,5,Business Strategy,Value chain engagement,Provide details of your environmental engagement strategy with your investees.,Yes,"Climate Change, Forests, Water",FS,No,No,Modified question,"C-FS12.1c, FW-FS4.1, FW-FS4.1b",Modified question,n/a,Modified question,n/a,Yes,Yes,No,No,Several new columns to facilitate integration and alignment with IFRS S2.,No,No,No,No
5.11.5,5,Business Strategy,Value chain engagement,Do your suppliers have to meet environmental requirements as part of your organization’s purchasing process?,Yes,"Climate Change, Forests, Water",All (except FS),Yes,No,Modified question,C12.2,New question,n/a,Modified question,W1.5b,Yes,No,Yes,Yes,Question now presented to disclosers for all environmental issues. Column on non-compliance policy added to incentivize (the introduction of) formal procedures for addressing supplier non-compliance.,No,Yes,No,Yes
5.11.6,5,Business Strategy,Value chain engagement,"Provide details of the environmental requirements that suppliers have to meet as part of your organization’s purchasing process, and the compliance measures in place.",Yes,"Climate Change, Forests, Water",All (except FS),No,No,Modified question,C12.2a,Modified question,"F6.4, F6.4a",Modified question,W1.5c,Yes,Yes,No,Yes,Columns on engagement of non-compliant suppliers have been added to incentivize the approach of retaining non-compliant suppliers while fostering compliance through active engagement. Supplier tier specified in columns' headings to improve data quality and allow for easier analysis. ,Yes,Yes,No,Yes
5.11.7,5,Business Strategy,Value chain engagement,Provide further details of your organization’s supplier engagement on environmental issues.,Yes,"Climate Change, Forests, Water, Plastics",All sectors,Yes,No,Modified question,C12.1a,Modified question,"F6.8, F6.9",Modified question,W1.5d,Yes,Yes,Yes,Yes,Columns have been added to ensure data quality and allow for easier analysis.,Yes,Yes,Yes,Yes
5.11.8,5,Business Strategy,Value chain engagement,Provide details of any environmental smallholder engagement activity.,No,Forests,All sectors,No,No,Removed question,"FW-FS4.3, FW-FS4.3a",Modified question,F6.7,n/a,n/a,No,No,No,Yes,"Column ""Are you working with stakeholders?"" removed as this datapoint is addressed in question 5.11.",No,Yes,No,Yes
5.11.9,5,Business Strategy,Value chain engagement,Provide details of any environmental engagement activity with other stakeholders in the value chain.,Yes,"Climate Change, Forests, Water",All sectors,Yes,No,Modified question,"C12.1b, C12.1d",New question,n/a,Modified question,W1.5e,Yes,No,No,Yes,Minor improvements in existing datapoints to enhance data quality.,No,Yes,No,Yes
5.12,5,Business Strategy,Collaborative Opportunities,Indicate any mutually beneficial environmental initiatives you could collaborate on with specific CDP Supply Chain members.,Yes,"Climate Change, Forests, Water",All sectors,No,Yes,Modified question,SC2.1,Modified question,SF2.1,Modified question,SW2.1,Yes,No,No,Yes,Introduced an environmental issue column facilitating integration.,No,Yes,No,Yes
5.13,5,Business Strategy,Collaborative Opportunities,Has your organization already implemented any mutually beneficial environmental initiatives due to CDP Supply Chain member engagement?,Yes,"Climate Change, Forests, Water",All sectors,No,Yes,Modified question,SC2.2,Modified question,SF2.2,Modified question,SW2.2,Yes,No,No,Yes,This question now applies to all environmental issues.,No,No,No,Yes
5.13.1,5,Business Strategy,Collaborative Opportunities,Specify the CDP supply chain members that have prompted your implementation of mutually beneficial environmental initiatives and provide information on the initiatives.,Yes,"Climate Change, Forests, Water",All sectors,No,Yes,Modified question,SC2.2a,Modified question,SF2.2a,Modified question,SW2.2a,Yes,No,No,Yes,Introduced an environmental issue column facilitating integration.,No,Yes,No,Yes
5.14,5,Business Strategy,Environmental requirements for asset managers,Do your external asset managers have to meet environmental requirements as part of your organization’s selection process and engagement?,Yes,"Climate Change, Forests, Water",FS,No,No,Modified question,C-FS3.7,New question,n/a,New question,n/a,Yes,No,No,No,This question now applies to all environmental issues.,No,No,No,No
5.14.1,5,Business Strategy,Environmental requirements for asset managers,Provide details of the environmental requirements that external asset managers have to meet as part of your organization's selection process and engagement .,Yes,"Climate Change, Forests, Water",FS,No,No,Modified question,C-FS3.7a,New question,n/a,New question,n/a,Yes,No,No,No,Introduced an environmental issue column facilitating integration.,No,No,No,No
5.15,5,Business Strategy,Shareholder Voting (FS),Does your organization exercise voting rights as a shareholder on environmental issues?,Yes,"Climate Change, Forests, Water",FS,No,No,Modified question,"C-FS12.2, FW-FS4.2",Modified question,n/a,Modified question,n/a,Yes,No,No,No,Rephrased question text to apply to all environmental issues.,No,No,No,No
5.15.1,5,Business Strategy,Shareholder Voting (FS),Provide details of your shareholder voting record on environmental issues.,Yes,"Climate Change, Forests, Water",FS,No,No,Modified question,C-FS12.2a,Modified question,n/a,Modified question,n/a,Yes,No,No,Yes,Introduced an environmental issue column facilitating integration. Additional columns added for analysis.,No,No,No,No
6.1,6,Environmental Performance – Consolidation Approach ,Consolidation approach,Provide details on your chosen consolidation approach for the calculation of environmental performance data.,Yes,All,All sectors,Yes,No,Modified question,C0.5,Modified question,"F0.5, F-MM0.9/F-CO0.9",Modified question,W0.5,Yes,Yes,No,No,Allows organizations to report on multiple environmental issues. Choice of consolidation approach must be explained for alignment with IFRS S2.,Yes,No,Yes,No
7.1,7,Environmental Performance – Climate Change,Emissions Methodology and Exclusions,Is this your first year of reporting emissions data to CDP?,No,Climate Change,All sectors,No,No,No change,C5.1,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.1.1,7,Environmental Performance – Climate Change,Emissions Methodology and Exclusions,"Has your organization undergone any structural changes in the reporting year, or are any previous structural changes being accounted for in this disclosure of emissions data?",No,Climate Change,All sectors,No,No,No change,C5.1a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.1.2,7,Environmental Performance – Climate Change,Emissions Methodology and Exclusions,"Has your emissions accounting methodology, boundary, and/or reporting year definition changed in the reporting year?",No,Climate Change,All sectors,No,No,No change,C5.1b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,Yes,No,No,No
7.1.3,7,Environmental Performance – Climate Change,Emissions Methodology and Exclusions,Have your organization’s base year emissions and past years’ emissions been recalculated as a result of any changes or errors reported in 7.1.1 and/or 7.1.2?,No,Climate Change,All sectors,No,No,No change,C5.1c,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.2,7,Environmental Performance – Climate Change,Emissions Methodology and Exclusions,"Select the name of the standard, protocol, or methodology you have used to collect activity data and calculate emissions.",No,Climate Change,All sectors,Yes,No,Minor change,C5.3,n/a,n/a,n/a,n/a,No,No,No,Yes,"A new drop-down was added ""Global GHG Accounting and Reporting Standard for the Financial Industry (PCAF)"". ",Yes,No,Yes,No
7.3,7,Environmental Performance – Climate Change,Emissions Methodology and Exclusions,Describe your organization’s approach to reporting Scope 2 emissions.,No,Climate Change,All sectors,Yes,No,No change,C6.2,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.4,7,Environmental Performance – Climate Change,Emissions Methodology and Exclusions,"Are there any sources (e.g. facilities, specific GHGs, activities, geographies, etc.) of Scope 1, Scope 2 or Scope 3 emissions that are within your selected reporting boundary which are not included in your disclosure?",No,Climate Change,All sectors,Yes,No,No change ,C6.4,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.4.1,7,Environmental Performance – Climate Change,Emissions Methodology and Exclusions,"Provide details of the sources of Scope 1, Scope 2, or Scope 3 emissions that are within your selected reporting boundary which are not included in your disclosure.",No,Climate Change,All sectors,Yes,No,Minor change,C6.4a,n/a,n/a,n/a,n/a,No,No,No,Yes,Additional guidance has been added for financial services organisations for reporting scope 3 category 15. ,No,No,No,No
7.5,7,Environmental Performance – Climate Change,"Scope 1, 2, and 3 Emissions Inventory",Provide your base year and base year emissions.,No,Climate Change,All sectors,Yes,No,Modified question,C5.2,n/a,n/a,n/a,n/a,No,Yes,No,No,"To align with IFRS S2, disclosers are now requested to share their methodological details for calculating their base year and base year emissions. ",No,No,No,No
7.6,7,Environmental Performance – Climate Change,"Scope 1, 2, and 3 Emissions Inventory",What were your organization’s gross global Scope 1 emissions in metric tons CO2e?,No,Climate Change,All sectors,Yes,No,Modified question,C6.1,n/a,n/a,n/a,n/a,No,Yes,No,No,"To align with IFRS S2, disclosers are now requested to share their methodological details for calculating their scope 1 emissions. ",Yes,No,Yes,No
7.7,7,Environmental Performance – Climate Change,"Scope 1, 2, and 3 Emissions Inventory",What were your organization’s gross global Scope 2 emissions in metric tons CO2e?,No,Climate Change,All sectors,Yes,No,Modified question,C6.3,n/a,n/a,n/a,n/a,No,Yes,No,No,"To align with IFRS S2, disclosers are now requested to share their methodological details for calculating their scope 2 emissions. ",Yes,No,Yes,No
7.8,7,Environmental Performance – Climate Change,"Scope 1, 2, and 3 Emissions Inventory","Account for your organization’s gross global Scope 3 emissions, disclosing and explaining any exclusions.",No,Climate Change,All sectors,Yes,No,Modified guidance,C6.5,n/a,n/a,n/a,n/a,No,Yes,No,No,"To align with IFRS S2, additional guidance has been provided on the characteristics of data inputs, and for instances where it is acceptable for organizations to measure emissions using different reporting periods to entities within its value chain. ",Yes,No,Yes,No
7.8.1,7,Environmental Performance – Climate Change,"Scope 1, 2, and 3 Emissions Inventory",Disclose or restate your Scope 3 emissions data for previous years.,No,Climate Change,All sectors,No,No,No change,C6.5a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.9,7,Environmental Performance – Climate Change,"Scope 1, 2, and 3 Emissions Inventory",Indicate the verification/assurance status that applies to your reported emissions.,No,Climate Change,All sectors,Yes,No,No change,C10.1,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.9.1,7,Environmental Performance – Climate Change,"Scope 1, 2, and 3 Emissions Inventory","Provide further details of the verification/assurance undertaken for your Scope 1 emissions, and attach the relevant statements.",No,Climate Change,All sectors,Yes,No,No change,C10.1a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.9.2,7,Environmental Performance – Climate Change,"Scope 1, 2, and 3 Emissions Inventory",Provide further details of the verification/assurance undertaken for your Scope 2 emissions and attach the relevant statements.,No,Climate Change,All sectors,Yes,No,No change,C10.1b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.9.3,7,Environmental Performance – Climate Change,"Scope 1, 2, and 3 Emissions Inventory",Provide further details of the verification/assurance undertaken for your Scope 3 emissions and attach the relevant statements.,No,Climate Change,All sectors,Yes,No,No change,C10.1c,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
